county_by_farmsize,county_by_farmsize_heads,livestock,state,status,subtype,iterations
False,,peafowl,13,,dummy,
False,,pheasants,13,,all,
False,,pheasants,13,,dummy,
False,,pigeons,13,,all,
False,,pigeons,13,,dummy,
False,,poultry-other,13,,all,
False,,poultry-other,13,,dummy,
False,,quail,13,,all,
False,,quail,13,,dummy,
False,,rheas,13,,all,
False,,rheas,13,,dummy,
True,True,sheep,13,ignored,all,
True,True,sheep,13,ipf,dummy,2.0
False,,turkeys,13,,all,
False,,turkeys,13,,dummy,
True,True,cattle,15,ignored,all,
True,True,cattle,15,ipf,beef,4.0
True,True,cattle,15,ipf,milk,2.0
True,True,cattle,15,ipf,other,21.0
False,,ckn-broilers,15,,all,
False,,ckn-broilers,15,,dummy,
True,False,ckn-layers,15,,all,
True,False,ckn-layers,15,,dummy,
False,,ckn-pullets,15,,all,
False,,ckn-pullets,15,,dummy,
False,,ckn-roosters,15,,all,
False,,ckn-roosters,15,,dummy,
False,,ducks,15,,all,
False,,ducks,15,,dummy,
False,,geese,15,,all,
False,,geese,15,,dummy,
False,,guineas,15,,all,
False,,guineas,15,,dummy,
True,True,hogs,15,ignored,all,
True,True,hogs,15,ipf,dummy,18.0
False,,peafowl,15,,all,
False,,peafowl,15,,dummy,
False,,pheasants,15,,all,
False,,pheasants,15,,dummy,
False,,pigeons,15,,all,
False,,pigeons,15,,dummy,
False,,poultry-other,15,,all,
False,,poultry-other,15,,dummy,
False,,quail,15,,all,
False,,quail,15,,dummy,
True,True,sheep,15,ignored,all,
True,True,sheep,15,ipf,dummy,32.0
False,,turkeys,15,,all,
False,,turkeys,15,,dummy,
True,True,cattle,16,ignored,all,
True,True,cattle,16,ipf,beef,38.0
True,True,cattle,16,ipf,milk,145.0
True,True,cattle,16,ipf,other,93.0
False,,chukars,16,,all,
False,,chukars,16,,dummy,
False,,ckn-broilers,16,,all,
False,,ckn-broilers,16,,dummy,
True,False,ckn-layers,16,,all,
True,False,ckn-layers,16,,dummy,
False,,ckn-pullets,16,,all,
False,,ckn-pullets,16,,dummy,
False,,ckn-roosters,16,,all,
False,,ckn-roosters,16,,dummy,
False,,ducks,16,,all,
False,,ducks,16,,dummy,
False,,emus,16,,all,
False,,emus,16,,dummy,
False,,geese,16,,all,
False,,geese,16,,dummy,
False,,guineas,16,,all,
False,,guineas,16,,dummy,
True,True,hogs,16,ignored,all,
True,True,hogs,16,ipf,dummy,125.0
False,,partridges,16,,all,
False,,partridges,16,,dummy,
False,,peafowl,16,,all,
False,,peafowl,16,,dummy,
False,,pheasants,16,,all,
False,,pheasants,16,,dummy,
False,,pigeons,16,,all,
False,,pigeons,16,,dummy,
False,,poultry-other,16,,all,
False,,poultry-other,16,,dummy,
False,,quail,16,,all,
False,,quail,16,,dummy,
True,True,sheep,16,ignored,all,
True,True,sheep,16,ipf,dummy,87.0
False,,turkeys,16,,all,
False,,turkeys,16,,dummy,
True,True,cattle,17,ignored,all,
True,True,cattle,17,ipf,beef,19.0
True,True,cattle,17,ipf,milk,248.0
True,True,cattle,17,ipf,other,76.0
False,,chukars,17,,all,
False,,chukars,17,,dummy,
False,,ckn-broilers,17,,all,
False,,ckn-broilers,17,,dummy,
True,False,ckn-layers,17,,all,
True,False,ckn-layers,17,,dummy,
False,,ckn-pullets,17,,all,
False,,ckn-pullets,17,,dummy,
False,,ckn-roosters,17,,all,
False,,ckn-roosters,17,,dummy,
False,,ducks,17,,all,
False,,ducks,17,,dummy,
False,,emus,17,,all,
False,,emus,17,,dummy,
False,,geese,17,,all,
False,,geese,17,,dummy,
False,,guineas,17,,all,
False,,guineas,17,,dummy,
True,True,hogs,17,ignored,all,
True,True,hogs,17,ipf,dummy,103.0
False,,ostriches,17,,all,
False,,ostriches,17,,dummy,
False,,peafowl,17,,all,
False,,peafowl,17,,dummy,
False,,pheasants,17,,all,
False,,pheasants,17,,dummy,
False,,pigeons,17,,all,
False,,pigeons,17,,dummy,
False,,poultry-other,17,,all,
False,,poultry-other,17,,dummy,
False,,quail,17,,all,
False,,quail,17,,dummy,
False,,rheas,17,,all,
False,,rheas,17,,dummy,
True,True,sheep,17,ignored,all,
True,True,sheep,17,ipf,dummy,34.0
False,,turkeys,17,,all,
False,,turkeys,17,,dummy,
True,True,cattle,18,ignored,all,
True,True,cattle,18,ipf,beef,218.0
True,True,cattle,18,ipf,milk,71.0
True,True,cattle,18,ipf,other,59.0
False,,chukars,18,,all,
False,,chukars,18,,dummy,
False,,ckn-broilers,18,,all,
False,,ckn-broilers,18,,dummy,
True,False,ckn-layers,18,,all,
True,False,ckn-layers,18,,dummy,
False,,ckn-pullets,18,,all,
False,,ckn-pullets,18,,dummy,
False,,ckn-roosters,18,,all,
False,,ckn-roosters,18,,dummy,
False,,ducks,18,,all,
False,,ducks,18,,dummy,
False,,emus,18,,all,
False,,emus,18,,dummy,
False,,geese,18,,all,
False,,geese,18,,dummy,
False,,guineas,18,,all,
False,,guineas,18,,dummy,
True,True,hogs,18,ignored,all,
True,True,hogs,18,ipf,dummy,321.0
False,,ostriches,18,,all,
False,,ostriches,18,,dummy,
False,,peafowl,18,,all,
False,,peafowl,18,,dummy,
False,,pheasants,18,,all,
False,,pheasants,18,,dummy,
False,,pigeons,18,,all,
False,,pigeons,18,,dummy,
False,,quail,18,,all,
False,,quail,18,,dummy,
False,,rheas,18,,all,
False,,rheas,18,,dummy,
True,True,sheep,18,ignored,all,
True,True,sheep,18,ipf,dummy,7.0
False,,turkeys,18,,all,
False,,turkeys,18,,dummy,
True,True,cattle,19,ignored,all,
True,True,cattle,19,ipf,beef,17.0
True,True,cattle,19,ipf,milk,130.0
True,True,cattle,19,ipf,other,62.0
False,,chukars,19,,all,
False,,chukars,19,,dummy,
False,,ckn-broilers,19,,all,
False,,ckn-broilers,19,,dummy,
True,False,ckn-layers,19,,all,
True,False,ckn-layers,19,,dummy,
False,,ckn-pullets,19,,all,
False,,ckn-pullets,19,,dummy,
False,,ckn-roosters,19,,all,
False,,ckn-roosters,19,,dummy,
False,,ducks,19,,all,
False,,ducks,19,,dummy,
False,,emus,19,,all,
False,,emus,19,,dummy,
False,,geese,19,,all,
False,,geese,19,,dummy,
False,,guineas,19,,all,
False,,guineas,19,,dummy,
True,True,hogs,19,ignored,all,
True,True,hogs,19,ipf,dummy,202.0
False,,ostriches,19,,all,
False,,ostriches,19,,dummy,
False,,peafowl,19,,all,
False,,peafowl,19,,dummy,
False,,pheasants,19,,all,
False,,pheasants,19,,dummy,
False,,pigeons,19,,all,
False,,pigeons,19,,dummy,
False,,poultry-other,19,,all,
False,,poultry-other,19,,dummy,
False,,quail,19,,all,
False,,quail,19,,dummy,
True,True,sheep,19,ignored,all,
True,True,sheep,19,ipf,dummy,120.0
False,,turkeys,19,,all,
False,,turkeys,19,,dummy,
True,True,cattle,20,ignored,all,
True,True,cattle,20,ipf,beef,28.0
True,True,cattle,20,ipf,milk,152.0
True,True,cattle,20,ipf,other,46.0
False,,chukars,20,,all,
False,,chukars,20,,dummy,
False,,ckn-broilers,20,,all,
False,,ckn-broilers,20,,dummy,
True,False,ckn-layers,20,,all,
True,False,ckn-layers,20,,dummy,
False,,ckn-pullets,20,,all,
False,,ckn-pullets,20,,dummy,
False,,ckn-roosters,20,,all,
False,,ckn-roosters,20,,dummy,
False,,ducks,20,,all,
False,,ducks,20,,dummy,
False,,emus,20,,all,
False,,emus,20,,dummy,
False,,geese,20,,all,
False,,geese,20,,dummy,
False,,guineas,20,,all,
False,,guineas,20,,dummy,
True,True,hogs,20,ignored,all,
True,True,hogs,20,ipf,dummy,501.0
False,,partridges,20,,all,
False,,partridges,20,,dummy,
False,,peafowl,20,,all,
False,,peafowl,20,,dummy,
False,,pheasants,20,,all,
False,,pheasants,20,,dummy,
False,,pigeons,20,,all,
False,,pigeons,20,,dummy,
False,,quail,20,,all,
False,,quail,20,,dummy,
True,True,sheep,20,ignored,all,
True,True,sheep,20,ipf,dummy,166.0
False,,turkeys,20,,all,
False,,turkeys,20,,dummy,
True,True,cattle,21,ignored,all,
True,True,cattle,21,ipf,beef,72.0
True,True,cattle,21,ipf,milk,89.0
True,True,cattle,21,ipf,other,66.0
False,,chukars,21,,all,
False,,chukars,21,,dummy,
False,,ckn-broilers,21,,all,
False,,ckn-broilers,21,,dummy,
True,False,ckn-layers,21,,all,
True,False,ckn-layers,21,,dummy,
False,,ckn-pullets,21,,all,
False,,ckn-pullets,21,,dummy,
False,,ckn-roosters,21,,all,
False,,ckn-roosters,21,,dummy,
False,,ducks,21,,all,
False,,ducks,21,,dummy,
False,,emus,21,,all,
False,,emus,21,,dummy,
False,,geese,21,,all,
False,,geese,21,,dummy,
False,,guineas,21,,all,
False,,guineas,21,,dummy,
True,True,hogs,21,ignored,all,
True,True,hogs,21,ipf,dummy,362.0
False,,ostriches,21,,all,
False,,ostriches,21,,dummy,
False,,peafowl,21,,all,
False,,peafowl,21,,dummy,
False,,pheasants,21,,all,
False,,pheasants,21,,dummy,
False,,pigeons,21,,all,
False,,pigeons,21,,dummy,
False,,poultry-other,21,,all,
False,,poultry-other,21,,dummy,
False,,quail,21,,all,
False,,quail,21,,dummy,
False,,rheas,21,,all,
False,,rheas,21,,dummy,
True,True,sheep,21,ignored,all,
True,True,sheep,21,ipf,dummy,501.0
False,,turkeys,21,,all,
False,,turkeys,21,,dummy,
True,True,cattle,22,ignored,all,
True,True,cattle,22,ipf,beef,153.0
True,True,cattle,22,ipf,milk,165.0
True,True,cattle,22,ipf,other,75.0
False,,chukars,22,,all,
False,,chukars,22,,dummy,
False,,ckn-broilers,22,,all,
False,,ckn-broilers,22,,dummy,
True,False,ckn-layers,22,,all,
True,False,ckn-layers,22,,dummy,
False,,ckn-pullets,22,,all,
False,,ckn-pullets,22,,dummy,
False,,ckn-roosters,22,,all,
False,,ckn-roosters,22,,dummy,
False,,ducks,22,,all,
False,,ducks,22,,dummy,
False,,emus,22,,all,
False,,emus,22,,dummy,
False,,geese,22,,all,
False,,geese,22,,dummy,
False,,guineas,22,,all,
False,,guineas,22,,dummy,
True,True,hogs,22,ignored,all,
True,True,hogs,22,ipf,dummy,70.0
False,,ostriches,22,,all,
False,,ostriches,22,,dummy,
False,,peafowl,22,,all,
False,,peafowl,22,,dummy,
False,,pheasants,22,,all,
False,,pheasants,22,,dummy,
False,,pigeons,22,,all,
False,,pigeons,22,,dummy,
False,,poultry-other,22,,all,
False,,poultry-other,22,,dummy,
False,,quail,22,,all,
False,,quail,22,,dummy,
False,,rheas,22,,all,
False,,rheas,22,,dummy,
True,True,sheep,22,ignored,all,
True,True,sheep,22,ipf,dummy,59.0
False,,turkeys,22,,all,
False,,turkeys,22,,dummy,
True,True,cattle,23,ignored,all,
True,True,cattle,23,ipf,beef,101.0
True,True,cattle,23,ipf,milk,68.0
True,True,cattle,23,ipf,other,66.0
False,,chukars,23,,all,
False,,chukars,23,,dummy,
False,,ckn-broilers,23,,all,
False,,ckn-broilers,23,,dummy,
True,False,ckn-layers,23,,all,
True,False,ckn-layers,23,,dummy,
False,,ckn-pullets,23,,all,
False,,ckn-pullets,23,,dummy,
False,,ckn-roosters,23,,all,
False,,ckn-roosters,23,,dummy,
False,,ducks,23,,all,
False,,ducks,23,,dummy,
False,,emus,23,,all,
False,,emus,23,,dummy,
False,,geese,23,,all,
False,,geese,23,,dummy,
False,,guineas,23,,all,
False,,guineas,23,,dummy,
True,True,hogs,23,ignored,all,
True,True,hogs,23,ipf,dummy,34.0
False,,partridges,23,,all,
False,,partridges,23,,dummy,
False,,peafowl,23,,all,
False,,peafowl,23,,dummy,
False,,pheasants,23,,all,
False,,pheasants,23,,dummy,
False,,pigeons,23,,all,
