status,county_by_farmsize,deficit,diff,farms_by_size,lambda0,tot_farms,tot_heads
gaps,False,13040.142857142857,13041.142857142857,False,13040.142857142857,1.0,13040.142857142857
ignored,,,,,,,
gaps,False,607.0,609.0,False,303.5,4.0,607.0
ignored,,,,,,,
no gaps,,,,,,14.0,1596.0
ignored,,,,,,,
no gaps,,,,,,74.0,1288.0
ignored,,,,,,,
gaps,False,1053.0,1055.0,False,526.5,18.0,1512.0
ignored,,,,,,,
gaps,True,202967.0,202984.99999999988,True,714.6666666666667,15568.0,883589.0
gaps,True,22186.0,22200.0,True,1671.0,369.0,94013.0
gaps,True,3157.0,3159.0,True,2459.0,12780.0,596455.0
ignored,,,,,,,
gaps,False,879.0,885.0,False,146.5,8.0,879.0
ignored,,,,,,,
gaps,False,445086.0,445097.0,False,40462.36363636363,992.0,12259925.0
ignored,,,,,,,
gaps,False,4055095.0,4055105.999999999,True,527924.8333333333,6197.0,7096782.0
ignored,,,,,,,
gaps,False,667569.0,667579.9999999995,False,60688.090909090904,888.0,3020429.0
ignored,,,,,,,
gaps,False,8613.0,8619.0,False,1435.5,1270.0,44689.0
ignored,,,,,,,
gaps,False,3449.0,3454.9999999999964,False,574.8333333333333,1040.0,22702.0
ignored,,,,,,,
gaps,False,87.0,101.0,False,6.214285714285714,94.0,704.0
ignored,,,,,,,
gaps,False,214.0,222.0,False,26.75,340.0,2974.0
ignored,,,,,,,
gaps,False,602.0,614.0,False,50.16666666666667,519.0,7170.0
ignored,,,,,,,
gaps,True,1745.0,1750.0,True,284.0,1486.0,14482.0
ignored,,,,,,,
gaps,False,34.0,38.0,False,8.5,23.0,236.0
ignored,,,,,,,
gaps,False,799.4666666666666,800.4666666666666,False,799.4666666666666,2.0,799.4666666666666
ignored,,,,,,,
gaps,False,230.0,249.0,False,12.105263157894736,258.0,2069.0
ignored,,,,,,,
gaps,False,229.0,237.99999999999955,False,25.444444444444443,50.0,2424.0
ignored,,,,,,,
gaps,False,1408.0,1424.0,False,88.0,98.0,6085.0
ignored,,,,,,,
gaps,False,219.0,224.0,False,43.8,20.0,2075.0
ignored,,,,,,,
gaps,False,179097.0,179116.0,False,9426.157894736842,202.0,265354.0
ignored,,,,,,,
gaps,False,31.0,36.99999999999999,False,5.166666666666666,7.0,31.0
ignored,,,,,,,
gaps,True,44.0,48.0,True,10.0,1358.0,24329.0
ignored,,,,,,,
gaps,False,190.0,200.9999999999991,False,17.272727272727273,732.0,7959.0
ignored,,,,,,,
gaps,True,200162.0,200223.0,True,430.76363636363635,12462.0,490955.0
gaps,True,42516.0,42573.0,True,2461.3636363636365,391.0,72830.0
gaps,True,18739.0,18744.0,True,7851.0,11213.0,436775.0
ignored,,,,,,,
gaps,False,9842.0,9847.0,False,1968.4,17.0,33950.0
ignored,,,,,,,
gaps,False,4323377.0,4323423.0,False,93986.45652173912,2081.0,231349257.0
ignored,,,,,,,
gaps,False,6228474.0,6228496.0,True,1202291.75,4682.0,22129571.0
ignored,,,,,,,
gaps,False,805922.0,805959.0,False,21781.675675675677,862.0,9613925.0
ignored,,,,,,,
gaps,False,73510.0,73552.0,False,1750.2380952380954,1301.0,1152873.0
ignored,,,,,,,
gaps,False,4021.0,4053.0,False,125.65625,720.0,15667.0
ignored,,,,,,,
gaps,False,75.0,91.0,False,4.6875,40.0,210.0
ignored,,,,,,,
gaps,False,464.0,498.99999999999955,False,13.257142857142856,165.0,1058.0
ignored,,,,,,,
gaps,False,1244.0,1297.000000000001,False,23.471698113207545,446.0,6137.0
ignored,,,,,,,
gaps,True,32836.0,32883.0,True,2104.0,1053.0,41671.0
ignored,,,,,,,
gaps,False,12.0,15.0,False,4.0,4.0,12.0
ignored,,,,,,,
gaps,False,799.4666666666666,801.4666666666666,False,399.7333333333333,2.0,799.4666666666666
ignored,,,,,,,
gaps,False,203.0,231.0,False,7.25,200.0,2962.0
ignored,,,,,,,
gaps,False,16291.0,16305.0,False,1163.642857142857,48.0,70722.0
ignored,,,,,,,
gaps,False,1004.0,1020.0,False,62.75,30.0,1318.0
ignored,,,,,,,
gaps,False,669.0,675.0,False,111.5,20.0,1431.0
ignored,,,,,,,
gaps,False,829294.0,829328.0,False,24391.0,151.0,2351420.0
ignored,,,,,,,
gaps,False,13.555555555555555,14.555555555555555,False,13.555555555555555,2.0,13.555555555555555
ignored,,,,,,,
gaps,True,3049.0,3086.0,True,34.80769230769231,999.0,26839.0
ignored,,,,,,,
gaps,False,1402.0,1444.0,False,33.38095238095238,465.0,7011.0
ignored,,,,,,,
gaps,True,15317.0,15319.0,True,1171.5,900.0,75013.0
gaps,True,19.0,21.0,True,2.5,22.0,633.0
no gaps,,,,,,727.0,55970.0
ignored,,,,,,,
gaps,False,10606.0,10608.0,False,5303.0,55.0,12768.0
ignored,,,,,,,
no gaps,,,,,,697.0,298360.0
ignored,,,,,,,
gaps,False,477967.5,477969.5,False,238983.75,78.0,479257.5
ignored,,,,,,,
